comment_text,true_sentiment,type
"Kegiatan @pdamsuryasembada yaitu :
Pelayanan Teknis dan Pemeliharaan, Inovasi dan Teknologi, Tanggung Jawab Sosial, Kerjasama dan Kemitraan, Informasi dan Komunikasi. Ayok ikutan jugaa @cahyo.hen @rahayudia1905 @mameyin26",Netral,Pernyataan
"pengolahan air, pengembangan infrastruktur, pelayanan pelanggan, diversifikasi usaha, dan kegiatan sosial.",Positif,Pernyataan
"Kegiatan PAM Surya Sembada selain distribusi air minum yaitu penguatan infrastruktur distribusi,  pengoptimalan sistem layanan pengaduan pelanggan, pasang baru dan pembayaran tagihan yang terdigitalisasi di App CIS. Selanjutnya, kegiatan edukasi pelestarian lingkungan Eco Movement seperti penanaman pohon dan wisata edukasi di IPAM Ngagel dan Karangpilang @ryantama.id @aliffkecil @olf_faqih",Netral,Pernyataan
"Jawabannya: perbaikan dan perawatan pipa pdam, uji pengolahan air terkait lingkungan, koordinasi proyek pemasangan pipa, pengembangan SDM terkait pelayanan kepada pelanggan, melakukan survei kepuasan pelanggan agar kualitas pelayanan terjaga, pemasangan pipa pelanggan baru, program pemberdayaan masyarakat terhadap air bersih. Wish me luck guys @fauzibanzai @bayupurbacaraka @kotakmci",Positif,Pernyataan
1. Pengembangan sdm. 2 . Pelayanan pelanggan  3. Perbaikan kebocoran  4. Pengelola pipa dll 5. Mengkoordinasi proyek pipa. 6  mengevaluasi kepuasan pelanggan  7. Menjaga keersihan dan kualitas air  @agushatianto @habibiahmad0107 @rani11han,Negatif,Pernyataan
"Min kalau habis kena galian got trus sudah di benerin ternyata waktu pengisian tando airnya tiba2 hilang lagi itu gimana ya min, kipas yang di meteran itu muter selagi tandon masih ada air",Negatif,Pertanyaan
"@dianaseptilia.19 Selamat pagi ibu Diana, apakah airnya keluar dari kran utama (stop kran) yg di dekat meteran? jika airnya keluar maka meterannya akan berputar krn air keluar. Utk instalasi rumahnya sendiri apakah ada kebocoran/ pelampungnya rusak? Utk kebocoran di instalasi dalam rumah dapat memperbaiki sendiri/ memanggil tukang krn merupakan kewenangan pelanggan bu. Jika kebocoran sebelum meteran merupakan tanggung jawab dan kewenangan PDAM bu. Silakan mengirimkan DM data pelanggannya/ call center di 08001926666/ WA center di 08123316666. Terima kasih -w",Negatif,Pertanyaan
👏,Netral,Pernyataan
"Hallo min bagaimana ini untuk tanggapanpergsntian meteran yang gagal. Kebetulan hari ini ada petugas dari pdam mengganti meteran rumah saya (dserah surabaya pusat, kecamatan/kelurahan bubutan) tetapi justru airnya tidak nyala sama sekali. Mohon untuk fast respon",Negatif,Pertanyaan
"@kamilaevi selamat malam bu Kamila, silakan DM kami data pelanggannya. Utk respon cepat aduan dpt melalui call center bebas pulsa di 08001926666/ WA 08123316666/ aplikasi CIS -w",Positif,Pernyataan
@scoliosis_surabaya Terima kasih supportnya 🙏🤝 -w,Positif,Pernyataan
@pdamsuryasembada via wa sudah via telfon sudah tapi tetap tidak ada penanganan cepar,Netral,Pernyataan
"@pdamsuryasembada terimakasih min setelah saya bom komen di ig pelayanannya sangat cepat, semoga amanah terus pdam surabaya❤️",Positif,Pernyataan
@kamilaevi Siap terima kasih bu Kamila. -w,Positif,Pernyataan
"Saya laporan dari hari rabu, sampai saat ini belum ada tanggapan sama sekali",Negatif,Pernyataan
"@fr.syahrudin selamat pagi Bp Syahrudin, mohon maaf atas ketidaknyamanan. Pengaduannya apa pak? Silakan DM kami data pelanggannya utk kami follow up. Respon cepat aduan dpt melalui Aplikasi CIS PDAM/ call center di 08001926666 (bebas pulsa) -w",Positif,Pertanyaan
"@fr.syahrudin selamat siang pak Syahrudin, sudah ditindaklanjuti petugas ke lokasi ya pak. Terimakasih ☺️🙏 -w",Positif,Pernyataan
@pdamsuryasembada terima kasih banyak atas perhatiannya,Positif,Pernyataan
"@fr.syahrudin siap, dengan senang hati ☺️🙏 - w",Netral,Pernyataan
🔥,Netral,Pernyataan
"Mantap, salam satu water 🙌🙌",Positif,Pernyataan
salam satu air🔥,Netral,Pernyataan
@msyifaul_ salam🙌,Netral,Pernyataan
🌲: aku di perbanyak guysss 🔥🔥🔥,Negatif,Pernyataan
josjis boloo,Netral,Pernyataan
josjiss🔥,Netral,Pernyataan
"yuk bisa yuk maping sumber pencemar ke sungai brantas terus di intervensi oleh dana pdam yang berkaitan dengan RPAM, bisa intervensi pengelolaan sampah dan limbah domestik",Positif,Pernyataan
Pohon adalah investasi terbaik untuk masa depan 👏 luar biasa PAM Surya Sembada,Positif,Pernyataan
🌲💗,Netral,Pernyataan
@msyifaul_ salam satu nyali WANI,Netral,Pernyataan
@widyarigga Terima kasih kak Wid -w,Positif,Pernyataan
@damaxrif Terima kasih supportnya pak Damaxrif -w,Positif,Pernyataan
@r_prastiawan yuk bisa yuk. Terima kasih masukan dan supportnya utk pelestarian sungai Brantas. -w,Positif,Pernyataan
@fachryandd josjis -w,Netral,Pernyataan
@flie__1 🔥 -w,Netral,Pernyataan
@gunawansb_ jojis mas Gunawan 🙌 -w,Netral,Pernyataan
@presarioqalamm terima kasih mas Pres ☺️🤝 -w,Positif,Pernyataan
@akmalreyhnth ☺️🙏🫶🏻 -w,Netral,Pernyataan
Terimakasih Surya Sembada atas sharing knowledge yang luar biasa. Maju Bersama seluruh BUMD Air Minum Di Indonesia 🤝,Positif,Pernyataan
"@perumdatugutirta terima kasih Tugu Tirta, salam solidaritas tukang ledeng 👷🏽☺️✨ -w",Positif,Pernyataan
"KUAT, BERSINERGI, TERBAIK 👏👏",Positif,Pernyataan
Pdam suroboyo n pdam malang rukun,Positif,Pernyataan
@ghofur_guard Salam solidaritas 🙏🏽☺️ -w,Netral,Pernyataan
@gigihpdam salam solidaritas 🙏🏽✨️☺️ -w,Netral,Pernyataan
byr air mahal pengaduan belum juga ada yg datang pdam air dirumah saya keluarnya dikit pollll,Negatif,Pernyataan
"@lalalalaa_31_ Mohon maaf atas ketidaknyamannya, mohon DM nomor saluran dan no. HP",Negatif,Pernyataan
"@lalalalaa_31_ Selamat pagi bu Lala, mohon maaf atas ketidaknyamanannya. Silakan mengirimkan data pelanggannya melalui DM utk kami tindaklanjuti. Utk respon cepat aduan dapat melalui Aplikasi CIS, WA center 08123316666/ Call Center 08001926666. -w",Positif,Pernyataan
@lalalalaa_31_ sama,Negatif,Pernyataan
"@zavirauto selamat pagi, utk tindaklanjut aduan silakan mengirimkan nomor pelanggan dan nomor telp utk kami tindaklanjuti aduannya. Terima kasih -w",Positif,Pernyataan
❤️❤️❤️,Netral,Pernyataan
@dwipaaprianur Terima kasih kak supportnya -w,Positif,Pernyataan
ini lah yg dinamakan SUKA DUKA pekerjaan 👏... Mantap OM .. Lanjutkan darma baktimu....sehat selalu Ya OM👏.... Salud..🙏🏻🌟🌟🌟🌟🌟,Positif,Pernyataan
Terima kasih kk Hedian atas dukungannya 🙏👷🏽 -w,Positif,Pernyataan
🔥🔥🔥,Netral,Pernyataan
Spil yg mewancarai dong😢,Netral,Pernyataan
Mantap pak nuril 👏,Positif,Pernyataan
,Netral,Pernyataan
Saya itu pak yg nangkap 🙏😄,Netral,Pernyataan
Damkar tetap trbaiik 🔥🔥🙌🙌😍,Positif,Pernyataan
@nanaa_mikhamila indeed 🔥👏 -w,Netral,Pernyataan
@th_diamond07 Waahh Damkarnya langsung hadir disini. Terima kasih supportnya Pak Drajad!! Sehat dan sukses selalu 🤝☺️🧑🏽‍🚒💪 -w,Positif,Pernyataan
@ichaa_manyuun Terima kasih Bu Ichaa. Sehat selalu bu 🙏 -w,Positif,Pernyataan
@mas_aries Terima kasih dukungannya Mas Aries 🙌 -w,Positif,Pernyataan
Gitu biawak kok masih diburu😢😢,Positif,Pertanyaan
Keren OM DRAJAT 👏🔥🔥😍..SEHAT² ENGGEH👏...,Positif,Pernyataan
Itu tantangan pak ular sanca entar gali lain tmpt bs buaya 😂,Netral,Pernyataan
"@yoskustiyono92 🐊: Aku ga bisa hidup tanpa kamu 😁👋 , terima kasih Pak Yos sudah berkunjung ke akun kami 🙏🏽 -w",Positif,Pernyataan
"@hedian1 Aamiin Aamiin YRA, panjang umur orang baik 🙏🏽🙌 -w",Positif,Pernyataan
@pdamsby.properti Terima kasih kk -w,Positif,Pernyataan
Bagus kolaborasi PDAM dan DAMKAR tetap kompak dan semangat Bapak2...,Positif,Pernyataan
@eko_margen terima kasih pak Eko supportnya. Sehat dan sukses utk Bp Eko ☺️🙏 -w,Positif,Pernyataan
@nanaa_mikhamila terima kasih,Positif,Pernyataan
@pdamsuryasembada aamiin terima kasih,Positif,Pernyataan
Aamiin terima kasih,Positif,Pernyataan
"Cuma sayangnya Air PDAM nya gak begitu lancar , tidak seperti hari' sebelumnya.
Lancar Hanya jam2 tertentu.",Negatif,Pernyataan
Kok untung pak piton ku tk dkek nk magetan,Netral,Pertanyaan
"@caksunemakyo selamat pagi Cak Sunemakyo, salam reptil -w",Netral,Pernyataan
"@sulkan996 Selamat pagi pak Sulkan, silakan merespon DM kami utk alamat lengkap dan nomor telpnya utk kami tindaklanjuti aduannya. Terima kasih -w",Positif,Pernyataan
Mulyorejo airnya kok tidak keluar ?,Negatif,Pertanyaan
Biasa aja gak terlalu dingin.,Negatif,Pernyataan
"@prihatmadjimontero ya kak dingin itu relatif, panas itu mutlak🔥 -w",Netral,Pernyataan
"Selamat malam, mohon maaf atas ketidaknyamanannya untuk air yang tidak keluar satu rumah atau banyak rumah? Silahkan DM Kami data pelanggannya -D",Negatif,Pertanyaan
Siap maturnuwun sanget sampun inponipun,Netral,Pernyataan
@herupratikto62 siap maturnuwun  sami2 🙏 -w,Netral,Pernyataan
Banyu PDAM Ket Minggu wingi beh wadem😂,Negatif,Pernyataan
@aminu_birohma welcome to bediding season kak 🥶 -w,Netral,Pernyataan
Bedinding ga selalu aja lebay,Negatif,Pernyataan
🔥,Netral,Pernyataan
🔥,Netral,Pernyataan
"Hallo min bagaimana ini untuk tanggapanpergsntian meteran yang gagal. Kebetulan hari ini ada petugas dari pdam mengganti meteran rumah saya (dserah surabaya pusat, kecamatan/kelurahan bubutan) tetapi justru airnya tidak nyala sama sekali. Mohon untuk fast respon",Negatif,Pertanyaan
@fisioterapisurabaya 🔥terima kasih supportnya kak -w,Positif,Pernyataan
@ann.wattimena ☺️🙏🫶🏻 -w,Netral,Pernyataan
"@kamilaevi selamat malam ibu, silakan merespon DM kami terkait penggantian meteran tersebut. Terima kasih -w",Positif,Pernyataan
🔥🔥,Netral,Pernyataan
@widyarigga terima kasih kak 🥰 -w,Positif,Pernyataan
👍👍❤️,Netral,Pernyataan
@arfandi6969 😍😍 -w,Netral,Pernyataan
🔥🔥🔥,Netral,Pernyataan
🔥 menyala,Netral,Pernyataan
@irshantynovita ☺️🙏🤝 -w,Netral,Pernyataan
@rizqiamrii kadang mencair kak ☺️🥶💧-w,Negatif,Pernyataan
sampaikan kepegawai anda atas nama Glen Putra Pradana Setiadarma untuk segera bayar tagihannya,Negatif,Pernyataan
@pdamsuryasembada mencairkan dana 😂,Netral,Pernyataan
joss 👍,Netral,Pernyataan
@yohanwahyudi581 terima kasih Pak Yohan 👷🏽🙏 -w,Positif,Pernyataan
@pdamsuryasembada min bales dm,Netral,Pernyataan
@trsarzqi baik kak -w,Positif,Pernyataan
@pdamsuryasembada sami sami,Netral,Pernyataan
"@atinniana Kalo menurut aku sih ikut caranya Dr.Rosari Listyana aja kak.. alhamdullillah bru seminggu trun 4kg , dietnya juga simple dan mudah",Netral,Pernyataan
@dr.rosarilistyanaa,Netral,Pernyataan
"@kinantisulasih  Iyaa bener mba saya juga pake itu cocok mbak,  area prut saya jdi kempes & kenceng.. bln lalu pake kisaran 23 hari itu juga dah turun 9-10 kg",Netral,Pernyataan
"Moto gerak cepat sy rasa masih jauh dri harapan Krena ,.,.d lapangan dan praktek nya tidak sesuai,. dgn laporan pelanggan ,.yg pernah d temui ada gangguan air PDAM TPI 10 hri baru d tangani itupun harus menghubungi kembali via call center",Negatif,Pernyataan
"@heri_pras_adi selamat siang P Heri Pras, terima kasih atas saran dan masukannya utk PDAM Surabaya. Semoga ke depan pelayanan kami semakin cepat dan memuaskan. Jika ada pengaduan utk respon cepat dpt melalui Aplikasi CIS PDAM yg dpt diunduh dr Hp Bapak/ibu. Terima kasih 🙏 -w",Positif,Pernyataan
Apa imbasnya air di tambak Medokan debit berkurang?,Netral,Pertanyaan
"@ariadjanu Selamat siang pak Aria, mohon maaf atas kendala yg dialami. Silakan DM kami data pelanggannya utk petugas kami cek ke lokasi. Utk respon cepat aduan dapat melalui call center pdam bebas pulsa di 08001926666/ WA ke 08123316666/ Aplikasi CIS PDAM. Terima kasih -w",Positif,Pernyataan
Hallo kak.. untuk air di daerah balas klumprik kanapa mati ya kak?? Dari jam 10 pagi tadi kak?,Negatif,Pertanyaan
"Knp telp call center susah di jam 17.10 apa call center tdk 24 jam , ini air di rmh sya rungkut mati trs ngehubungi pdam nya gmn???",Negatif,Pertanyaan
"Sampe jam segini telp call center isinya maaf sedang melayani pelanggan gtu mulu, gak ada operator nya ini mangkanya kata2nya gtu. Ini gmn air mati susah dihubunginya pdam",Negatif,Pertanyaan
"@pdamsuryasembada halo kak, daya listrikku sebelumnya 900 lalu dinaikan sama penyewa 2.200. ternyata golongan tarif pdam jg naik 2.1 . jika saya mau nurunkan daya kembali ke 900 apakah golongan tarif pdam juga turun kembali ke 1.3 ?",Negatif,Pertanyaan
"@diniumar17 Selamat pagi bu Dini, mohon maaf atas ketidaknyamanannya. Apakah saat ini airnya sudah keluar kembali? jika belum silakan DM kami alamat lengkap dan nmr telpnya. Terima kasih -w",Positif,Pertanyaan
"@qenndra Selamat pagi bu Qendra, mohon maaf atas ketidaknyamanannya. Utk daerah Balas Klumprik kemarin ada perbaikan pipa bocor dan sudah selesai. Semoga saat ini air sudah mengalir lancar kembali di tempat ibu. Terima kasih -w",Negatif,Pernyataan
"@rasastrawberi800 Selamat pagi, silakan menyertakan nomor pelanggan dan nomor telpnya utk dicek petugas. Daya listrik adalah salah satu elemen kode tarif, elemen lainnya adalah nilai jual objek pajak (NJOP), lebar jalan depan rumah, guna persil, dll. Info lebih lanjut dapat menghubungi call center pdam bebas pulsa 24 jam di 08001926666. Terima kasih -w",Positif,Pernyataan
"@diniumar17 Selamat pagi bu Dini, mohon maaf atas ketidaknyamanannya. Apakah saat ini air sudah keluar kembali? -w",Negatif,Pertanyaan
aLhamdulillah.....smoga berkah 🤲,Positif,Pernyataan
@yohanwahyudi581 aamiin aamiin YRa ☺️🙏 -w,Positif,Pernyataan
"Gak pernha telat gak pernah apa tiba"" Tahihan membengkak 100x lipat dan ttp suruh bayar kacau kacau",Negatif,Pernyataan
"Ada petugas tbtb kerumah dan menyerahkan tagihan terlambat 3bulan, dan dendanya diluar nalar.. tagihan 190an dendanya 277 kan gilaa kenapa secara tbtb sedangkan biasanya maximal tgl 15, sekarang masih tgl 5 .. gercep ya kalau untuk penarikan gitu, uangnya denda kemana sih",Negatif,Pertanyaan
"@_pujanilaay Selamat siang bu Puja, utk biaya tsb adalah biaya administrasi utk keterlambatan pembayaran 3 bulan. Silakan menyertakan nomor pelanggan dan nomor telpnya via DM utk kami cek informasi ke Bag terkait. Mohon upayakan utk membayar tagihan tepat waktu agar tidak terkena denda keterlambatan. Silakan mengunduh Aplikasi CIS utk mendapatkan notifikasi pembayaran setiap bulan agar terhindar dari keterlambatan pembayaran. Pembayaran juga dapat dilakukan melalui Aplikasi CIS. -w",Netral,Pernyataan
"@bangfery_ Selamat siang pak Fery, mohon maaf atas ketidaknyamanannya. Mohon dibantu informasi nomor pelanggan dan nomor telpnya via DM utk kami tindaklanjuti aduannya. Terima kasih -w",Positif,Pernyataan
Airmu keruh bau got .. kenapa kok seperti ini apakah pengelolaan air kehabisan kaporit ??,Negatif,Pertanyaan
"Min, rumah saya di Jl. Klakah Rejo pipa bocor sdh lapor tapi lambat respon. Seharian cuma TLP dan WA saja, tdk ada tindak lanjut. Memang lama gini ya ?",Negatif,Pertanyaan
Pagi ini air daerah kalikepiting tidak menyala pak apakah ada perbaikan,Negatif,Pertanyaan
"@aninarifin87 Selamat pagi bu Anina, mohon maaf atas ketidaknyamanannya. Silakan DM kami alamat lengkap dan nmr telpnya utk kami tindaklanjuti aduannya. Utk bantuan tangki gratis selama gangguan air dpt menghubungi call center pdam bebas pulsa di 08001926666/ WA ke 08123316666. Utk respon cepat aduan dpt melalui aplikasi CIS -w",Positif,Pernyataan
"Pagi sore siang g nyala pdam siwalan kerto,, butuh u masak, cuci, mandi. Knp?",Negatif,Pertanyaan
"Tarif naik merokettt tp air g keluar, diadukan g ada solutif",Negatif,Pernyataan
Air PDAM KALILOM LOR INDAH GG.DELIMA TIDAK LANCAR 1MINGGU INI.JAM 05,Negatif,Pernyataan
"Jam 05.30 (pagi)mati,hidup pun ngk lancar meteran pun lambat.SEGERA DITINDAK LANJUTI.",Negatif,Pernyataan
"Bayar tidak perna telat,air telat melulu🤨🤨",Negatif,Pernyataan
Sampai siang jam 3 sore hidup pun 5menit ngk lanjar,Negatif,Pernyataan
Ngk lancar,Positif,Pernyataan
"@2ank84 Selamat sore pak/bu ank84, mohon maaf atas ketidaknyamanannya. Untuk tindaklanjut aduan silakan DM kami data pelanggannya. Utk respon cepat aduan dpt melalui Aplikasi CIS yang dpt diunduh dari playstore/ Appstore. Atau dapat juga menghubungi call center pdam bebas pulsa di 08001926666. -w",Positif,Pernyataan
"@maaychantii Selamat sore kak Maaychantii, mohon maaf atas ketidaknyamanannya. Silakan DM kami data pelanggannya utk kami tindaklanjuti. Saat ini di Siwalan Kerto sedang ada pemasangan box cuvlert di beberapa titik. SIlakan menghubungi call center bebas pulsa di 08001926666 utk bantuan tangki gratis selama air belum keluar. Terima kasih -w",Positif,Pertanyaan
SANGATT TIDAK PUASSS !!,Negatif,Pernyataan
@wahyu_arpra11  Hapuss sistem admin bukaan / tutupan !!.,Netral,Pernyataan
"@2ank84 selamat pagi pak/bu, apakah saat ini air sudah mengalir kembali? Mohon maaf atas ketidaknyamanannya 🙏 -w",Positif,Pertanyaan
Gak onok banyu Ket subuh Sampek sore,Negatif,Pernyataan
"@yeraeka selamat pagi pak Yeraeka, mohon maaf atas ketidaknyamanannya. Apakah airnya sudah mengalir kembali? -w",Positif,Pertanyaan
"@pdamsuryasembada belum pak mulai jam 5 pagi sudah ga nyala, ini baru nyala lagi jam 13.30",Negatif,Pernyataan
"@yeraeka mohon maaf atas ketidaknyamanannya. Silakan DM kami data pelanggan, alamat dan nomor telpnya utk kami tindaklanjuti aduannya. Utk respon cepat dpt menghubungi call center bebas pulsa di 08001926666/ aplikasi CIS yg dpt diunduh di playstore/ appstore -w",Positif,Pernyataan
Tolong pdam tagihan sy membengkak tiap bulan uda kyk buka cucian motor,Negatif,Pernyataan
"@ingedewanti selamat sore ibu Inge, mohon maaf atas ketidaknyamanannya. Silakan DM kami data pelanggannya dan nomor telpnya utk kami tindaklanjuti aduannya. Terima kasih -w",Positif,Pernyataan
Ini air pdam di rmh sy lokasi di mojo 3F airnya bau got dan keruh... Apakah ada perbaikan atau bgaimna,Negatif,Pertanyaan
"Kok gak survei ke saya... Saya kasih bintang ⭐ . TIDAK PUAS. Sering keruh dijam mau subuh. Hari ini air kecil tidak ada pemberitahuan, cuci di mesin cuci jd eror gak ada air padahal tinggal bilas",Negatif,Pertanyaan
"@yeyendonesia selamat pagi Yeye Indonesia, mohon maaf atas ketidaknyamanannya. Utk tindaklanjut aduan silakan DM kami data pelanggannya. Utk respon cepat aduan dpt melalui call center pdam di 08001926666/ Aplikasi CIS. Terima kasih -w",Positif,Pernyataan
Pagesangan IVA gak keluar airnya sama sekali pak/bu yg terhormat,Negatif,Pernyataan
"@sang.kuriang6 selamat pagi pak/bu Sangkuriang, utk wilayah Mojo sedang ada pemasangan box culvert. Utk tindaklanjut aduannya silakan DM kami alamat lengkap dan nmr pelanggan serta nomor telp. Terima kasih -w",Positif,Pernyataan
Tolong dong diperbaikin pelayanannya..masak meteran hampir stgh tahun gak bisa dilihat gak diganti2..komplain terus gak ada tanggapan sama sekali..pelanggan disuruh nungguh sampai setengah tahun gak ada solusi..harus membayar tagihan yang sama terus..PARAH BANGET PDAM SURABAYA,Negatif,Pernyataan
BURUK 😞,Netral,Pernyataan
"@uwh13 selamat siang pak/bu Uwh, apakah pengaduannya sudah ditindaklanjuti? Mohon maaf atas ketidaknyamanannya. Silakan DM kami data alamat dan nmr telpnya. Utk respon cepat aduan dpt melalui Aplikasi CIS PDAM. Terima kasih -w",Positif,Pertanyaan
"@ricky_maru63 selamat siang pak Ricky, apakah pengaduannya sudah ditindaklanjuti? Mohon maaf atas ketidaknyamanannya. Silakan DM kami data alamat dan nmr telpnya. Utk respon cepat aduan dpt melalui Aplikasi CIS PDAM. Terima kasih -w",Positif,Pertanyaan
"@supercroc.sub Selamat pagi kak supercroc, mohon maaf atas ketidaknyamanannya. Silakan mengirimkan data alamat dan nomor pelanggan serta nomor telp utk kami tindaklanjuti aduannya via DM. Utk respon cepat aduan dpt melalui Call Center/ Aplikasi CIS -w",Positif,Pernyataan
"@masbarjak Selamat pagi Pak Masbarjak, mohon maaf atas ketidaknyamanannya. Utk penyebab gangguan air tsb krn pipa pdam terdampak box culvert di Pagesangan. Saat ini sedang dalam penanganan petugas. Jika membutuhkan bantuan tangki gratis sementara dapat menghubungi call center pdam bebas pulsa di 08001926666. Terima kasih -w",Positif,Pernyataan
"Ga usah atek survey2 habuk yakin lek surev temenan lak akeh sing ga puas, saiki wilayah Pagedangan dan sekitarnya ga mari2 banyune mati, jam piro iso mirip normal",Negatif,Pernyataan
Kenapa setiap ada pasang gorong gorong air selalu mati tanpa pemberitahuan? Hari ini tanggal 16 agustus air di daerah simo sidomulyo mati. Seenggak2nya ngomong ke warga kalah mau dimatikan.,Negatif,Pertanyaan
"Hari ini air dirumah saya tidak keluar sama sekali mulai shubuh tadi sampe skrg sudah sore,sudah laporan tapi gak direspon",Negatif,Pernyataan
"@rizkiamaliahnoor4 selamat malam bu Rizki, silakan DM kami data pelanggannya utk admin bantu follow up ke bagian terkait. Utk respon cepat pengaduan dpt melalui aplikasi CIS PDAM. Terima kasih 🙏 -w",Positif,Pernyataan
"@rizkidsusanto selamat malam pak Rizki, apakah sampai saat ini air masih belum keluar? Utk bantuan air tangki selama gangguan air bapak dpt menghubungi call center bebas pulsa di 08001926666. 1 tangki utk 5-7KK. Terima kasih -w",Positif,Pertanyaan
"Nomer call center yg anda kasih tu gak ada gunanya. Utk apa anda kasih chat BOT. Penanganan keluhan super lama, slow respon pula. Dr siang sampai malam tidak ada 1 orangpun yg nongol buat menangani keluhan. Air mati dr pagi, dihubungin telponnya dr pagi sibuk terus, siang akhirnya br bs nyambung ke cs. Dr siang diajukan keluhan sampai berkali2 bolak balik follow up nelpon ulang, sampe malem ini belum ada petugas teknisi yg dateng. Jawabannya template, gak bs ngasih kepastian kapan petugas akan datang, disuruh nunggu2 terus. Padahal air itu keperluan urgent utk sehari2. Gmn ini pak @ericahyadi_ kenapa penanganan keluhan pelanggan pdam lama sekali. Apakah Pdam apa gak punya SLA waktu utk penanganan keluhan pelanggan?",Negatif,Pertanyaan
"@fathimah_afifah Selamat pagi bu Fathimah, mohon maaf atas ketidaknyamanannya. Baik bu segera kami follow up ke petugas utk aduannya. Terima kasih -w",Positif,Pernyataan
@pdamsuryasembada sudah saya DM,Netral,Pernyataan
@qurroainiyah Parah emang..giliran meraka yg salah aja gak ada solusi hampir 1 tahun..parah emang pdam ini,Negatif,Pernyataan
@pdamsuryasembada sdh saya kirim nmr pelanggan sama nmr tlp saya jg,Netral,Pernyataan
"@supercroc.sub baik pak, segera kami selesaikan. Mohon maaf atas ketidaknyamanannya 🙏☺️ -w",Positif,Pernyataan
"@supercroc.sub baik pak, saat ini proses pak dr bagian terkait utk menindaklanjuti aduan bpk/ibu. Mohon ditunggu 🙏 -w",Netral,Pernyataan
"@pdamsuryasembada tidak ada tindak lanjut kak, saya sudah bersurat ke dirut pdam, belum ada respon, mau tidak mau saya harus bayar krn jika tidak bayar selama 3 hari sampai batas waktu, akan diputus pdamnya ☺️🙏🏻 he he he",Negatif,Pernyataan
"Pelayan cepat dan akurat, buat pengaduan malam, sore esoknya satset langsung di kerjakan",Positif,Pernyataan
Monggo Survei kepuasan pelanggan ke wilayah kami wonokusumo lor  10,Negatif,Pernyataan
@____m.g.n____ alhamdulillah terima kasih atas ulasannya. Mudah2an airnya lancar terus bp/ibu. Jika ada pengaduan jgn segan2 memberitahu kami melalui call center 24 jam atau aplikasi CIS PDAM utk respon cepat. ☺️🙏 -w,Positif,Pernyataan
@rt9rw10wnk selamat malam. Silakan mengirimkan data pelanggannya via DM dilengkapi nomor telp utk kami tindaklanjuti pengaduannya. Terima kasih -w,Positif,Pernyataan
"Knp telp call center susah di jam 17.10 apa call center tdk 24 jam , ini air di rmh sya rungkut mati trs ngehubungi pdam nya gmn???",Negatif,Pertanyaan
"@diniumar17 Selamat pagi bu Dini, silakan DM kami data pelanggannya utk kami tindaklanjuti aduannya. Terima kasih -w",Positif,Pernyataan
"Tarif air naik tapi tekanan air turun drastis bahkan mati.. Lapor pun tidak ada solusi hanya dijawab ""pemerataan tekanan ke daerah lain"" kalau gitu rumah saya sampai mati airnya tiap pagi dan sore.. Aneh",Negatif,Pernyataan
"@christyan.budi selamat pagi pak/bu Christyan, mohon maaf atas ketidaknyamanannya. Utk tindaklanjut aduan silakan mengirimkan alamat lengkap dan nomor telp utk kami tindaklanjuti. Terima kasih -w",Positif,Pernyataan
@pdamsuryasembada  min gimana seh ngehitungnya  jumlah meteran kubik nya kok tinggi bangt. Orang air drmhku loh setetes setetes ngalirnya. Biasanya cuma 10-13 meter kubik lah  lah bulan ini bayar kok jadi 20meter kubik. Gimana seh min di akalnya kok tinggi sekali ??,Negatif,Pertanyaan
sampaikan kepegawai anda atas nama Glen Putra Pradana Setiadarma untuk segera bayar tagihannya,Negatif,Pernyataan
@glen_probity suruh bayar hutang kak,Negatif,Pernyataan
"di sumberan balasklumprik wiyung sekarang setiap pagi dan sore air selalu mati
tolong di nyalain terus dong kenapa harus di jadwalin mati gini sih, karena kalo pagi pasti semua orang butuh air!!!",Negatif,Pertanyaan
"@iin_indut selamat pagi bu Iin, mohon maaf atas ketidaknyamanannya. Mohon dibantu DM kami data alamat dan nomor telp utk kami tindaklanjuti ke petugas. Utk respon cepat aduan dpt melalui call center bebas pulsa di 08001926666/ melalui aplikasi CIS. Terima kasih -w",Positif,Pernyataan
Pean Survei skg di daerah Bendul meris permai i lak ga Ono banyu Mili.,Negatif,Pernyataan
Area bendul merisi 15 jul jam sore sampe jam 19.30 saat ini emg lg trouble t pdam e ?,Negatif,Pertanyaan
"Min,,tarif rumah PDAM ku kok tiba-tiba ganti kelompok loh,,, gimana caranya,,dari kelompok 1.3 jadi 2.1 ,iki piye cerita ne,aku bayar naiknya 260%. Komplain ke cs katanya naik per 2023, lah kemana 2 tahun ini kok tiba2 bulan July ini tanpa pemberitahuan. Kok bisa loh tarif air jadi berubah kelompok, cs nya pun ngasih jawaban gak relevan, hayooo min aku bayar banyu entek AKEH iki , tarif e jadi 3200 per kubik ,,aku iki wong kampung min ,bukan area perumahan",Negatif,Pertanyaan
"@rinaoyii selamat pagi bu Rina, utk wilayah Bendul Merisi gangguan air disebabkan pipa pdam terdampak box culvert. Kmrn malam sudah slsai diperbaiki. Mudah2an saat ini sudah mengalir kembali. Sbg informasi proyek box culvert hari ini jalan kembali. Jika membutuhkan bantuan tangki gratis silakan DM kami data pelanggan/telp ke call center bebas pulsa di 08001926666. Terima kasih -w",Positif,Pernyataan
